epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.8456,1.36979,1.73321,0.00831,0.67759,0.76521,0.74977,0.44156,1.71064,1.47753,0.01598,0.000553675,0.000553675,0.000553675
2,174.009,1.36573,1.06219,0.00898,0.80641,0.79574,0.84522,0.57112,1.50225,1.2634,0.01414,0.00109836,0.00109836,0.00109836
3,249.585,1.32916,0.97754,0.00894,0.81617,0.82253,0.85745,0.5888,1.5093,1.11473,0.0148,0.00163204,0.00163204,0.00163204
4,324.112,1.29743,0.91654,0.00888,0.83679,0.84072,0.88562,0.62146,1.49279,1.02094,0.0148,0.00161749,0.00161749,0.00161749
5,399.473,1.25107,0.84575,0.00817,0.81896,0.83799,0.87802,0.62655,1.46475,1.04545,0.01473,0.00160099,0.00160099,0.00160099
6,474.069,1.18815,0.78178,0.00781,0.86602,0.86754,0.91047,0.6699,1.37142,0.88052,0.0137,0.00158448,0.00158448,0.00158448
7,549.306,1.15995,0.72664,0.00755,0.86613,0.86327,0.91038,0.6516,1.37242,0.85994,0.01269,0.00156798,0.00156798,0.00156798
8,623.986,1.16116,0.71078,0.0076,0.87393,0.88687,0.92583,0.67947,1.3607,0.76543,0.01297,0.00155148,0.00155148,0.00155148
9,699.632,1.12354,0.69205,0.00735,0.86343,0.88485,0.92014,0.69413,1.29325,0.82693,0.01245,0.00153497,0.00153497,0.00153497
10,775.134,1.10351,0.67799,0.0072,0.86812,0.86648,0.91815,0.67651,1.35653,0.81831,0.01289,0.00151847,0.00151847,0.00151847
11,850.399,1.09101,0.65775,0.00698,0.87245,0.8804,0.92594,0.7018,1.25174,0.78011,0.01156,0.00150197,0.00150197,0.00150197
12,924.314,1.06124,0.62917,0.00665,0.87453,0.87487,0.91785,0.6823,1.34052,0.79325,0.01251,0.00148546,0.00148546,0.00148546
13,998.645,1.05695,0.63188,0.00685,0.89806,0.88133,0.93195,0.69769,1.29443,0.71771,0.01269,0.00146896,0.00146896,0.00146896
14,1073.21,1.02705,0.58504,0.00653,0.88774,0.88976,0.93704,0.7096,1.28293,0.70199,0.01226,0.00145246,0.00145246,0.00145246
